H2O	NO3	Hog	Site
17.02	1.7	0	road
15.16	1	12	road
17.38	0.8	0	road
18.31	1.4	0	road
18.41	1	7	road
18.83	1.5	16	road
17.88	1	12	road
17.89	1.2	8	road
18.4	0.8	2	road
20.16	1.7	1	road
17.01	0.8	1	road
19.13	1.4	0	road
17.31	1.3	1	road
20.65	0.7	3	road
21.31	1	3	road
20.66	0.6	3	brook
20.07	0.8	24	brook
23.35	1.7	5	brook
24.7	1.5	8	brook
20.9	0.7	9	brook
26.33	0.9	23	brook
22.37	1.3	25	brook
20.33	1.9	8	brook
24.09	1.3	6	brook
30.24	1.2	3	brook
25.25	1.3	6	brook
24.47	1.7	3	brook
21.51	1.8	9	brook
25.88	1.8	12	brook
22.74	1.4	1	brook
