"PCR.f.Length" "PCR.f.Tm" "Result"
"1" 30 43.4 FALSE
"2" 42 49.4 FALSE
"3" 21 54 FALSE
"4" 34 50.5 FALSE
"5" 40 54.6 FALSE
"6" 40 57.9 FALSE
"7" 40 58.1 FALSE
"8" 40 53.9 FALSE
"9" 30 50.6 FALSE
"10" 30 41.4 FALSE
"11" 30 40.4 FALSE
"12" 33 52.9 FALSE
"13" 40 53.3 FALSE
"14" 30 46 FALSE
"15" 36 52.6 FALSE
"16" 40 55.2 FALSE
"17" 40 45.2 FALSE
"18" 40 52.5 FALSE
"19" 30 41.9 FALSE
"20" 34 41.6 FALSE
"21" 30 42.3 FALSE
"22" 40 45.1 FALSE
"23" 40 46.8 FALSE
"24" 30 42.1 FALSE
"25" 30 36.8 FALSE
"26" 28 55.9 FALSE
"27" 40 45.4 FALSE
"28" 40 54.2 FALSE
"29" 40 60 FALSE
"30" 32 56.6 FALSE
"31" 40 60.1 FALSE
"32" 40 58.7 FALSE
"33" 30 47.3 FALSE
"34" 38 51.7 FALSE
"35" 35 49.3 FALSE
"36" 30 49.5 FALSE
"37" 32 49.5 FALSE
"38" 30 46 FALSE
"39" 39 47.1 FALSE
"40" 40 56.5 FALSE
"41" 40 51.9 FALSE
"42" 37 54.2 FALSE
"43" 40 55.3 FALSE
"44" 40 60.2 TRUE
"45" 40 53.1 TRUE
"46" 30 48 TRUE
"47" 40 55.2 TRUE
"48" 40 57.3 TRUE
"49" 30 47.7 TRUE
"50" 40 51 TRUE
"51" 40 61.5 TRUE
"52" 29 53.8 TRUE
"53" 40 56.6 TRUE
"54" 30 48.2 TRUE
"55" 40 53.1 TRUE
"56" 40 53.7 TRUE
"57" 40 56.4 TRUE
"58" 33 54.9 TRUE
"59" 40 60.6 TRUE
"60" 29 53.8 TRUE
"61" 30 46.4 TRUE
"62" 30 56.2 TRUE
"63" 40 49.2 TRUE
"64" 40 53.1 TRUE
"65" 29 55.1 TRUE
"66" 40 59.6 TRUE
"67" 40 54.2 TRUE
"68" 40 51.1 TRUE
"69" 30 48.3 TRUE
"70" 36 56.1 TRUE
"71" 40 58.5 TRUE
"72" 38 50.1 TRUE
"73" 30 50.9 TRUE
"74" 40 52.7 TRUE
"75" 32 48.2 TRUE
"76" 40 56 TRUE
"77" 30 47.4 TRUE
"78" 29 52 TRUE
"79" 40 57.8 TRUE
"80" 30 51.6 TRUE
"81" 30 50.4 TRUE
"82" 40 57.4 TRUE
"83" 40 53.7 TRUE
"84" 35 51.5 TRUE
"85" 42 53.8 TRUE
"86" 40 55.5 TRUE
"87" 30 52.7 TRUE
"88" 40 51 TRUE
"89" 40 58.5 TRUE
"90" 31 50.9 TRUE
"91" 40 57.2 TRUE
"92" 30 50.1 TRUE
"93" 30 47.7 TRUE
"94" 40 53.6 TRUE
"95" 30 45.4 TRUE
"96" 36 47.8 TRUE
"97" 30 47.7 TRUE
"98" 30 46.1 TRUE
"99" 40 54 TRUE
"100" 40 52.7 TRUE
"101" 40 57.7 TRUE
"102" 40 54.8 TRUE
"103" 40 56 TRUE
"104" 31 52 TRUE
"105" 40 57.9 TRUE
"106" 40 52.5 TRUE
"107" 40 57 TRUE
"108" 30 45.7 TRUE
"109" 40 45 TRUE
"110" 40 48.3 TRUE
"111" 40 52.3 TRUE
"112" 30 46.2 TRUE
"113" 30 47.4 TRUE
"114" 30 50.8 TRUE
"115" 40 55.6 TRUE
"116" 40 52.8 TRUE
"117" 40 51.1 TRUE
"118" 40 54.1 TRUE
"119" 30 43.4 TRUE
"120" 40 55.7 TRUE
"121" 31 50 TRUE
"122" 40 53.5 TRUE
"123" 40 44.6 TRUE
"124" 40 53.8 TRUE
"125" 30 49.7 TRUE
"126" 40 52.8 TRUE
"127" 28 54.7 TRUE
"128" 35 52.9 TRUE
"129" 33 55.4 TRUE
"130" 31 55.3 TRUE
"131" 30 48 TRUE
"132" 37 56.9 TRUE
"133" 30 50.9 TRUE
"134" 40 54.9 TRUE
"135" 40 51.7 TRUE
"136" 40 56 TRUE
"137" 40 52.2 TRUE
"138" 40 52.1 TRUE
"139" 36 52.8 TRUE
"140" 30 47.4 TRUE
"141" 40 54.2 TRUE
"142" 33 58.6 TRUE
"143" 32 54.5 TRUE
"144" 40 54.2 TRUE
"145" 35 53.6 TRUE
"146" 40 49.2 TRUE
"147" 33 52.7 TRUE
"148" 35 53.3 TRUE
"149" 33 46.8 TRUE
"150" 40 55.6 TRUE
"151" 40 52 TRUE
"152" 40 54.7 TRUE
"153" 37 56.4 TRUE
"154" 30 50.7 TRUE
"155" 40 55.9 TRUE
"156" 40 51.4 TRUE
"157" 32 51 TRUE
"158" 40 55.8 TRUE
"159" 31 54.4 TRUE
"160" 40 59.4 TRUE
"161" 40 56 TRUE
"162" 35 55.4 TRUE
"163" 30 48.1 TRUE
"164" 30 46.7 TRUE
"165" 36 57.6 TRUE
"166" 34 49.7 TRUE
"167" 40 55.2 TRUE
"168" 40 56.6 TRUE
"169" 26 53.6 TRUE
"170" 35 56.7 TRUE
"171" 31 49 TRUE
"172" 40 58.7 TRUE
"173" 32 54.3 TRUE
"174" 30 53 TRUE
"175" 31 49 TRUE
"176" 40 56.4 TRUE
"177" 40 51.6 TRUE
"178" 40 50.9 TRUE
"179" 30 50.3 TRUE
"180" 30 48.9 TRUE
"181" 40 49.3 TRUE
"182" 31 53.1 TRUE
"183" 40 50.6 TRUE
"184" 40 57.3 TRUE
"185" NA NA NA
"186" NA NA NA
"187" NA NA NA
"188" NA NA NA
"189" NA NA NA
"190" NA NA NA
"191" NA NA NA
"192" NA NA NA
"193" NA NA NA
